Source: https://www.wunderground.com/history/monthly/us/tx/dallas/KDAL/date/2023-6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Jun,T-Max,T-Avg,T-Min,Td-Max,Td-Avg,Td-Min,RH-Max,RH-Avg,RH-Min,Wind-Max,Wind-Avg,Wind-Min,Pressure-Max,Pressure-Avg,Pressure-Min,Precip-Total
1 ,88 ,81.2 ,73 ,69 ,65.5 ,62 ,81 ,60.0 ,43 ,13 ,7.2 ,0 ,29.4 ,29.4 ,29.3 ,0.00 
2 ,90 ,83.0 ,74 ,69 ,65.9 ,64 ,76 ,57.4 ,42 ,14 ,7.2 ,0 ,29.4 ,29.4 ,29.3 ,0.00 
3 ,91 ,77.7 ,70 ,66 ,62.7 ,60 ,78 ,61.1 ,39 ,23 ,7.0 ,0 ,29.4 ,29.3 ,29.3 ,0.02 
4 ,88 ,77.7 ,68 ,64 ,62.2 ,61 ,81 ,60.3 ,40 ,12 ,4.8 ,0 ,29.4 ,29.4 ,29.3 ,0.15 
5 ,86 ,76.1 ,65 ,65 ,63.0 ,60 ,87 ,65.6 ,44 ,12 ,5.9 ,0 ,29.5 ,29.4 ,29.4 ,0.09 
6 ,86 ,78.2 ,71 ,67 ,64.8 ,62 ,81 ,63.9 ,46 ,23 ,3.9 ,0 ,29.4 ,29.4 ,29.3 ,0.00 
7 ,90 ,77.0 ,68 ,68 ,65.2 ,62 ,90 ,69.2 ,40 ,21 ,5.3 ,0 ,29.4 ,29.3 ,29.3 ,0.06 
8 ,91 ,78.8 ,69 ,70 ,66.7 ,64 ,93 ,68.5 ,41 ,13 ,4.4 ,0 ,29.4 ,29.3 ,29.3 ,0.91 
9 ,94 ,83.5 ,71 ,71 ,67.4 ,66 ,87 ,60.6 ,40 ,12 ,5.1 ,0 ,29.4 ,29.3 ,29.2 ,0.00 
10 ,93 ,83.6 ,76 ,73 ,69.0 ,65 ,79 ,62.0 ,44 ,15 ,9.4 ,5 ,29.3 ,29.2 ,29.1 ,0.00 
11 ,97 ,80.7 ,72 ,76 ,68.9 ,63 ,90 ,68.8 ,41 ,29 ,10.0 ,0 ,29.3 ,29.3 ,29.2 ,0.00 
12 ,86 ,77.6 ,72 ,69 ,66.6 ,63 ,87 ,69.7 ,49 ,16 ,9.6 ,3 ,29.5 ,29.4 ,29.3 ,1.65 
13 ,78 ,73.5 ,69 ,76 ,71.0 ,68 ,97 ,91.9 ,82 ,16 ,6.7 ,0 ,29.4 ,29.3 ,29.2 ,0.01 
14 ,90 ,81.5 ,75 ,79 ,75.8 ,74 ,97 ,83.7 ,63 ,10 ,4.6 ,0 ,29.2 ,29.2 ,29.1 ,0.80 
15 ,92 ,84.4 ,76 ,79 ,76.8 ,68 ,97 ,78.7 ,62 ,16 ,8.8 ,0 ,29.3 ,29.2 ,29.1 ,0.00 
16 ,96 ,82.0 ,72 ,77 ,70.7 ,64 ,76 ,68.8 ,52 ,21 ,11.0 ,5 ,29.4 ,29.3 ,29.2 ,0.00 
17 ,95 ,84.9 ,76 ,78 ,73.5 ,68 ,85 ,69.6 ,50 ,15 ,7.6 ,0 ,29.4 ,29.3 ,29.2 ,0.00 
18 ,92 ,83.8 ,75 ,76 ,71.7 ,67 ,79 ,67.9 ,44 ,14 ,5.8 ,0 ,29.3 ,29.2 ,29.2 ,0.00 
19 ,97 ,86.2 ,76 ,79 ,75.2 ,69 ,85 ,70.6 ,54 ,15 ,9.9 ,6 ,29.3 ,29.3 ,29.2 ,0.00 
20 ,97 ,88.2 ,82 ,79 ,77.4 ,76 ,85 ,71.1 ,54 ,15 ,9.6 ,7 ,29.3 ,29.3 ,29.2 ,0.00 
21 ,90 ,84.0 ,78 ,80 ,77.2 ,71 ,94 ,80.2 ,69 ,17 ,9.1 ,0 ,29.4 ,29.3 ,29.2 ,0.00 
22 ,90 ,84.3 ,78 ,72 ,70.8 ,69 ,79 ,64.6 ,55 ,14 ,8.2 ,3 ,29.4 ,29.3 ,29.3 ,0.71 
23 ,90 ,83.2 ,78 ,78 ,72.2 ,64 ,79 ,69.6 ,56 ,16 ,9.0 ,5 ,29.5 ,29.4 ,29.4 ,0.00 
24 ,97 ,87.1 ,77 ,76 ,72.9 ,71 ,90 ,64.6 ,44 ,16 ,11.8 ,5 ,29.4 ,29.3 ,29.3 ,0.00 
25 ,97 ,90.0 ,81 ,76 ,73.5 ,72 ,74 ,58.8 ,47 ,17 ,10.1 ,6 ,29.4 ,29.3 ,29.3 ,0.00 
26 ,98 ,90.5 ,82 ,78 ,75.4 ,72 ,79 ,62.0 ,48 ,14 ,9.1 ,3 ,29.4 ,29.3 ,29.3 ,0.00 
27 ,100 ,90.6 ,80 ,75 ,72.8 ,69 ,79 ,57.5 ,39 ,15 ,10.4 ,7 ,29.4 ,29.3 ,29.3 ,0.00 
28 ,98 ,89.2 ,80 ,73 ,70.8 ,67 ,74 ,55.8 ,39 ,16 ,11.0 ,7 ,29.4 ,29.4 ,29.3 ,0.00 
29 ,98 ,89.5 ,81 ,73 ,71.0 ,67 ,74 ,55.7 ,37 ,15 ,11.1 ,7 ,29.4 ,29.4 ,29.4 ,0.00 
30 ,95 ,88.5 ,81 ,73 ,69.6 ,67 ,69 ,54.4 ,40 ,16 ,9.9 ,6 ,29.5 ,29.4 ,29.3 ,0.00
