FID,ice_facility,usp,fci,aux_camp,private,admin_facility,closed_inactive,ice_private
1519,1,0,0,0,0,0,0,1
3322,1,0,0,0,0,0,0,1
5004,0,1,0,0,0,0,0,0
4063,0,0,0,1,0,0,0,0
1236,1,0,0,0,0,0,0,1
625,1,0,0,0,0,0,0,0
5969,0,0,0,0,1,0,0,0
1312,0,0,0,0,1,0,0,0
4915,0,0,0,0,1,0,0,0
2938,0,0,0,0,1,0,0,0
1238,0,0,0,0,1,0,0,0
5150,1,0,0,0,0,0,0,0
1465,0,0,0,0,1,0,0,0
3114,1,0,0,0,0,0,0,1
1520,1,0,0,0,0,0,0,0
2515,1,0,0,0,0,0,0,0
1795,1,0,0,0,0,0,0,0
1551,1,0,0,0,0,0,0,0
3336,0,0,1,0,0,0,0,0
3338,0,0,0,1,0,0,0,0
2597,0,0,1,0,0,0,0,0
2510,0,0,1,0,0,0,0,0
6007,0,0,1,0,0,0,0,0
6006,0,0,0,1,0,0,0,0
3534,0,0,1,0,0,0,0,0
3363,0,0,0,1,0,0,0,0
2417,0,0,1,0,0,0,0,0
3598,0,0,1,0,0,0,0,0
5475,0,0,1,0,0,0,0,0
5243,0,0,0,1,0,0,0,0
3629,0,0,1,0,0,0,0,0
3567,0,0,0,1,0,0,0,0
2914,0,0,1,0,0,0,0,0
2928,0,0,0,1,0,0,0,0
3233,0,0,1,0,0,0,0,0
3230,0,0,0,1,0,0,0,0
2904,0,0,1,0,0,0,0,0
1353,0,0,1,0,0,0,0,0
2990,0,0,0,1,0,0,0,0
1355,0,0,1,0,0,0,0,0
2520,0,0,1,0,0,0,0,0
3351,0,0,0,1,0,0,0,0
3602,0,0,1,0,0,0,0,0
192,0,0,1,0,0,0,0,0
2996,0,0,0,1,0,0,0,0
3348,0,0,1,0,0,0,0,0
2409,0,0,0,1,0,0,0,0
5609,0,0,1,0,0,0,0,0
3593,0,0,0,1,0,0,0,0
5095,0,0,1,0,0,0,0,0
3359,0,0,0,1,0,0,0,0
3320,0,0,1,0,0,0,0,0
3321,0,0,0,1,0,0,0,0
3200,0,0,1,0,0,0,0,0
2517,0,0,1,0,0,0,0,0
1241,0,0,0,1,0,0,0,0
2518,0,0,1,0,0,0,0,0
3526,0,0,1,0,0,0,0,0
2426,0,0,0,1,0,0,0,0
2912,0,0,1,0,0,0,0,0
2822,0,0,0,1,0,0,0,0
3150,0,0,1,0,0,0,0,0
3345,0,0,0,1,0,0,0,0
3300,0,0,1,0,0,0,0,0
2512,0,0,0,1,0,0,0,0
3302,0,0,1,0,0,0,0,0
1762,0,0,1,0,0,0,0,0
1443,0,0,0,1,0,0,0,0
5476,0,0,1,0,0,0,0,0
