FID,FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,SECURELVL,CAPACITY,SHAPE_Leng,GlobalID,CreationDate,Creator,EditDate,Editor,SHAPE_Length,SHAPE_Area
1,10002798,MIDLAND COUNTY CENTRAL DETENTION CENTER,400 S MAIN ST,MIDLAND,TX,79701,-999,(432) 688-4745,COUNTY,OPEN,438,MIDLAND,48329,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.co.midland.tx.us/200/Detention,2018/04/30 00:00:00+00,IMAGERY/OTHER,2020/02/27 00:00:00+00,https://www.co.midland.tx.us/departments/SO/Pages/default.aspx,MAXIMUM,498,0.00727474414751,{86DE7B8A-37D4-4D99-984B-D70D2B8C474F},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,863.87107605926,2.57905833923e-06
2,10002796,BARBARA CULVER JUVENILE DETENTION CENTER,3800 N LAMESA RD,MIDLAND,TX,79701,-999,(432) 688-4541,COUNTY,OPEN,-999,MIDLAND,48329,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.tjjd.texas.gov/publications/other/searchfacilityregistryresults.aspx?SelectedFacilityType=YKSBbGCMUWM=&SelectedSortBy=laExhobORj5ZHimppFKN0Q==&IncludeInactive=bZL7qeN3IjY=,2018/04/30 00:00:00+00,IMAGERY/OTHER,2020/02/11 00:00:00+00,https://www.co.midland.tx.us/163/Barbara-Culver-Juvenile-Center,JUVENILE,24,0.00464525058647,{1C1E4C11-3209-4E90-85C7-957AE58CEB3C},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,571.238625945111,9.89764503367e-07
3,10002836,SAN JACINTO COUNTY JAIL,75 W CEDAR AVE,COLDSPRING,TX,77331,-999,(936) 653-4367,COUNTY,OPEN,96,SAN JACINTO,48407,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.tcjs.state.tx.us/index.php?linkID=325, https://texasjailproject.org/list_of_county_jails/",2018/03/01 00:00:00+00,IMAGERY/OTHER,2020/03/04 00:00:00+00,http://www.co.san-jacinto.tx.us/page/sanjacinto.sheriff,NOT AVAILABLE,144,0.00232725233844,{0764FA0C-E415-4F31-95AB-751C895E6CCF},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,285.360222251671,3.07571487005e-07
4,10003033,YELLOW MEDICINE COUNTY JAIL,415 9TH AVENUE,GRANITE FALLS,MN,56241,-999,(320) 313-3049,COUNTY,OPEN,27,YELLOW MEDICINE,27173,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.co.ym.mn.gov/index.asp?Type=B_BASIC&SEC={7AEEBD16-209E-4890-96DB-3A984AE3B434}, https://mn.gov/doc/data-publications/performance-report/",2018/03/23 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,https://www.co.ym.mn.gov/index.asp?SEC=7AEEBD16-209E-4890-96DB-3A984AE3B434,NOT AVAILABLE,36,0.00227221351015,{9A789E0C-3A99-44D7-A17C-3F0C940DC400},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,304.118315612444,1.90010719573e-07
5,10006288,NMJC THIEF RIVER FALLS SATELLITE HOME,118 N. SPRUCE AVENUE,THIEF RIVER FALLS,MN,56701,-999,(218) 681-3484,LOCAL,OPEN,2,PENNINGTON,27113,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.nmjconline.org/annual-statistical-report-2015-nmjc-online.pdf, https://mn.gov/doc/assets/Thief%20River%20Falls%20Satellite%20Home-NMJC_2017_tcm1089-298942.pdf",2018/03/23 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,http://www.nmjconline.org/satellite.php,JUVENILE,5,0.000643903767212,{A4CD4104-0496-45C8-B09B-FC49557098D0},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,85.5381405245874,2.45748818435e-08
6,10005438,PREBLE COUNTY JAIL,1139 PREBLE DRIVE,EATON,OH,45320,-999,(937) 456-6323,COUNTY,OPEN,79,PREBLE,39135,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.preblecountysheriff.org/jail/,2018/04/12 00:00:00+00,IMAGERY/OTHER,2020/02/20 00:00:00+00,http://www.preblecountysheriff.org/jail/,NOT AVAILABLE,70,0.00302056088861,{D10E1863-113E-47FA-B197-225445264B3D},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,382.708818536848,5.01869202083e-07
7,10004413,SCHLEICHER COUNTY JAIL,4 SOUTH DIVIDE STREET,ELDORADO,TX,76936,-999,(325) 853-2737,COUNTY,OPEN,5,SCHLEICHER,48413,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.tcjs.state.tx.us/index.php?linkID=325, https://texasjailproject.org/list_of_county_jails/",2018/03/01 00:00:00+00,IMAGERY/OTHER,2020/03/04 00:00:00+00,http://www.schleichercountytexas.us/Sheriff/Sheriff.htm,NOT AVAILABLE,15,0.00115854006929,{31055162-8BCE-4860-86A7-2D9B59810EC7},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,139.727286148174,7.85970462191e-08
8,10003100,WASHINGTON COUNTY CORRECTIONAL FACILITY,100 W CHERRY AVE,WASHINGTON,PA,15301,6820,(724) 228-6845,COUNTY,OPEN,402,WASHINGTON,42125,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.cor.pa.gov/Facilities/CountyPrisons/Pages/Inspection-Schedule,-Statistics-And-General-Info.aspx, http://www.cor.pa.gov/Facilities/CountyPrisons/Pages/County-Prison-Contact-Info.aspx",2018/04/18 00:00:00+00,IMAGERY/OTHER,2020/01/31 00:00:00+00,http://www.co.washington.pa.us/115/Correctional-Facility,NOT AVAILABLE,407,0.00236357394816,{69F08916-A6F4-45C8-A407-4B82B786032D},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,309.245960343672,2.25261484507e-07
9,10006806,ANDREW COUNTY JAIL,400 EAST MAIN STREET,SAVANNAH,MO,64485,-999,(816) 324-4114,COUNTY,OPEN,-999,ANDREW,29003,USA,922140,CORRECTIONAL INSTITUTIONS,https://andrewcounty.org/sheriff/,2018/03/23 00:00:00+00,IMAGERY/OTHER,2020/01/31 00:00:00+00,https://www.andrewcountysheriff.org/index.php,MAXIMUM,60,0.00187764701416,{51FE4F5E-66AF-4C7D-B483-3A559E104486},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,233.459619566326,1.89507494216e-07
10,10005221,WAYNE COUNTY CORRECTIONAL FACILITY,44 MID-WAYNE DR,HONESDALE,PA,18431,-999,(570) 253-2621,COUNTY,OPEN,94,WAYNE,42127,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.cor.pa.gov/Facilities/CountyPrisons/Pages/Inspection-Schedule,-Statistics-And-General-Info.aspx, http://www.cor.pa.gov/Facilities/CountyPrisons/Pages/County-Prison-Contact-Info.aspx",2018/04/18 00:00:00+00,IMAGERY/OTHER,2020/01/31 00:00:00+00,https://www.waynecountypa.gov/211/Corrections,NOT AVAILABLE,201,0.00513337969796,{1E304AF0-D5FC-4047-8C81-67B07FFED8EE},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,659.679056460059,1.43467242599e-06
