STATE,STATEFP,Type,wbgt_28_pop_mean
AL,01,County,187974
AL,01,Federal,114837
AL,01,Local,9914
AL,01,State,597932
AL,01,Total,910657
AZ,04,County,257893
AZ,04,Federal,451913
AZ,04,Other,80770
AZ,04,State,2360885
AZ,04,Total,3151461
AR,05,County,128019
AR,05,Federal,108893
AR,05,State,543636
AR,05,Total,780548
CA,06,County,419993
CA,06,Federal,115166
CA,06,Local,4729
CA,06,Other,4025
CA,06,State,1890298
CA,06,Total,2434211
CO,08,County,67
CO,08,Federal,0
CO,08,Local,0
CO,08,Other,0
CO,08,State,5878
CO,08,Total,5945
CT,09,Federal,884
CT,09,State,29300
CT,09,Total,30184
DE,10,State,49925
DE,10,Total,49925
DC,11,State,18718
DC,11,Total,18718
FL,12,County,3138466
FL,12,Federal,933627
FL,12,Local,143131
FL,12,Other,34638
FL,12,State,5846308
FL,12,Total,10096170
GA,13,County,431641
GA,13,Federal,266590
GA,13,Local,647
GA,13,State,1315191
GA,13,Total,2014069
ID,16,County,852
ID,16,State,1360
ID,16,Total,2212
IL,17,County,68500
IL,17,Federal,56121
IL,17,Local,260
IL,17,State,368243
IL,17,Total,493124
IN,18,County,34532
IN,18,Federal,19044
IN,18,State,83078
IN,18,Total,136654
IA,19,County,16960
IA,19,Local,182
IA,19,State,59907
IA,19,Total,77049
KS,20,County,80201
KS,20,Federal,32394
KS,20,State,136241
KS,20,Total,248836
KY,21,County,127004
KY,21,Federal,6437
KY,21,Local,9698
KY,21,State,54221
KY,21,Total,197360
LA,22,County,1500474
LA,22,Federal,291643
LA,22,Local,51373
LA,22,Other,38347
LA,22,State,843212
LA,22,Total,2725049
ME,23,County,340
ME,23,State,100
ME,23,Total,440
MD,24,County,54491
MD,24,Federal,4568
MD,24,State,134974
MD,24,Total,194033
MA,25,County,21706
MA,25,Federal,2202
MA,25,State,17725
MA,25,Total,41633
MI,26,County,15341
MI,26,Federal,2332
MI,26,State,18769
MI,26,Total,36442
MN,27,County,8336
MN,27,Federal,1665
MN,27,Local,17
MN,27,State,10839
MN,27,Total,20857
MS,28,County,385629
MS,28,Federal,234938
MS,28,State,515480
MS,28,Total,1136047
MO,29,County,81296
MO,29,Federal,7840
MO,29,Local,16309
MO,29,State,329089
MO,29,Total,434534
MT,30,County,45
MT,30,Local,34
MT,30,Other,0
MT,30,State,243
MT,30,Total,322
NE,31,County,25243
NE,31,State,47825
NE,31,Total,73068
NV,32,County,84728
NV,32,Federal,10575
NV,32,Local,78437
NV,32,State,60285
NV,32,Total,234025
NH,33,County,1667
NH,33,Federal,0
NH,33,State,1966
NH,33,Total,3633
NJ,34,County,65197
NJ,34,Federal,29883
NJ,34,State,96188
NJ,34,Total,191268
NM,35,County,1624
NM,35,Federal,0
NM,35,Other,3016
NM,35,State,1370
NM,35,Total,6010
NY,36,County,13589
NY,36,Federal,10197
NY,36,Local,1749
NY,36,State,40970
NY,36,Total,66505
NC,37,County,107306
NC,37,Federal,50542
NC,37,State,585153
NC,37,Total,743001
ND,38,County,600
ND,38,State,1530
ND,38,Total,2130
OH,39,County,22217
OH,39,Federal,0
OH,39,Local,182
OH,39,Other,72
OH,39,State,47018
OH,39,Total,69489
OK,40,County,205904
OK,40,Federal,118618
OK,40,Local,589
OK,40,State,826103
OK,40,Total,1151214
OR,41,County,2197
OR,41,Federal,348
OR,41,Local,0
OR,41,State,3363
OR,41,Total,5908
PA,42,County,49060
PA,42,Federal,16525
PA,42,Local,31176
PA,42,Other,262
PA,42,Other,22
PA,42,State,32262
PA,42,Total,129307
RI,44,Other,1334
RI,44,State,6888
RI,44,Total,8222
SC,45,County,155167
SC,45,Federal,140910
SC,45,Local,536
SC,45,State,399158
SC,45,Total,695771
SD,46,County,2236
SD,46,Federal,3409
SD,46,State,15239
SD,46,Total,20884
TN,47,County,333763
TN,47,Federal,40768
TN,47,Local,55
TN,47,Other,1278
TN,47,State,291194
TN,47,Total,667058
TX,48,County,2888518
TX,48,Federal,1237884
TX,48,Local,8207
TX,48,Other,123181
TX,48,State,7094025
TX,48,Total,11351815
UT,49,County,6719
UT,49,Federal,0
UT,49,State,166
UT,49,Total,6885
VT,50,State,745
VT,50,Total,745
VA,51,County,141550
VA,51,Federal,43384
VA,51,Local,93412
VA,51,State,254604
VA,51,Total,532950
WA,53,County,2126
WA,53,Federal,0
WA,53,Local,23
WA,53,State,4257
WA,53,Total,6406
WV,54,County,4661
WV,54,Federal,433
WV,54,State,3468
WV,54,Total,8562
WI,55,County,13498
WI,55,Federal,814
WI,55,State,23988
WI,55,Total,38300
WY,56,County,0
WY,56,Other,0
WY,56,State,0
WY,56,Total,0
