prison_id,wbgt_28_2016_2020,NAME,STATE,STATEFP,COUNTY,CITY,TYPE,POPULATION,CAPACITY,VAL_DATE
1,12.8,MIDLAND COUNTY CENTRAL DETENTION CENTER,TX,48,MIDLAND,MIDLAND,COUNTY,438,498,2020/02/27
3,54.4,SAN JACINTO COUNTY JAIL,TX,48,SAN JACINTO,COLDSPRING,COUNTY,96,144,2020/03/04
4,4.8,YELLOW MEDICINE COUNTY JAIL,MN,27,YELLOW MEDICINE,GRANITE FALLS,COUNTY,27,36,2020/01/02
5,0.2,NMJC THIEF RIVER FALLS SATELLITE HOME,MN,27,PENNINGTON,THIEF RIVER FALLS,LOCAL,2,5,2020/01/02
6,0.2,PREBLE COUNTY JAIL,OH,39,PREBLE,EATON,COUNTY,79,70,2020/02/20
7,3.4,SCHLEICHER COUNTY JAIL,TX,48,SCHLEICHER,ELDORADO,COUNTY,5,15,2020/03/04
8,0.4,WASHINGTON COUNTY CORRECTIONAL FACILITY,PA,42,WASHINGTON,WASHINGTON,COUNTY,402,407,2020/01/31
10,0,WAYNE COUNTY CORRECTIONAL FACILITY,PA,42,WAYNE,HONESDALE,COUNTY,94,201,2020/01/31
12,12,BATES COUNTY JAIL,MO,29,BATES,BUTLER,COUNTY,26,100,2020/01/31
14,23.6,SHACKELFORD COUNTY JAIL,TX,48,SHACKELFORD,ALBANY,COUNTY,11,27,2020/03/04
21,15.8,BOLLINGER COUNTY JAIL,MO,29,BOLLINGER,MARBLE HILL,COUNTY,18,-999,2020/01/31
22,41.6,SHERIFF AL CANNON DETENTION CENTER,SC,45,CHARLESTON,NORTH CHARLESTON,COUNTY,1113,1917,2020/02/07
23,62.8,MILAM COUNTY JAIL,TX,48,MILAM,CAMERON,COUNTY,137,160,2020/02/27
25,7.6,SUTTON COUNTY JAIL,TX,48,SUTTON,SONORA,COUNTY,14,28,2020/03/04
27,17,CARTERET COUNTY DETENTION FACILITY,NC,37,CARTERET,BEAUFORT,COUNTY,128,117,2020/02/13
28,9.4,NOLAN COUNTY JAIL,TX,48,NOLAN,SWEETWATER,COUNTY,66,96,2020/02/27
29,86.4,NUECES COUNTY MCKINZIE JAIL ANNEX,TX,48,NUECES,CORPUS CHRISTI,COUNTY,400,450,2020/02/27
32,1.8,CATAWBA COUNTY DETENTION FACILITY / JUSTICE CENTER,NC,37,CATAWBA,NEWTON,COUNTY,317,268,2020/02/13
33,17,JOPLIN CITY JAIL,MO,29,JASPER,JOPLIN,LOCAL,62,60,2020/01/31
36,0.6,OLDHAM COUNTY JAIL,TX,48,OLDHAM,VEGA,COUNTY,3,10,2020/02/27
37,34,PALO PINTO COUNTY JAIL,TX,48,PALO PINTO,PALO PINTO,COUNTY,119,142,2020/02/27
38,84,VICTORIA COUNTY JAIL,TX,48,VICTORIA,VICTORIA,COUNTY,375,524,2020/03/04
42,40,WALKER COUNTY JAIL,TX,48,WALKER,HUNTSVILLE,COUNTY,186,268,2020/03/04
43,56.2,WALLER COUNTY JAIL,TX,48,WALLER,HEMPSTEAD,COUNTY,75,110,2020/03/04
45,1.8,ABRAXAS ACADEMY,PA,42,BERKS,MORGANTOWN,STATE,81,156,2020/01/28
46,9.6,CLAY COUNTY DETENTION CENTER,MO,29,CLAY,LIBERTY,COUNTY,382,-999,2020/01/31
50,0,CACHE COUNTY JAIL / SHERIFF,UT,49,CACHE,LOGAN,COUNTY,220,-999,2020/02/20
51,9.6,DENT COUNTY SHERIFF'S DEPARTMENT,MO,29,DENT,SALEM,COUNTY,46,21,2020/01/31
54,40.2,JACKSON COUNTY ADULT DETENTION CENTER,MS,28,JACKSON,PASCAGOULA,COUNTY,309,-999,2020/01/07
55,0.2,YOUTH FORESTRY CAMP #3,PA,42,HUNTINGDON,JAMES CREEK,STATE,24,50,2020/01/31
57,0,WEBER COUNTY JAIL / SHERIFF,UT,49,WEBER,OGDEN,COUNTY,992,888,2020/02/20
58,0,WASATCH COUNTY JAIL,UT,49,WASATCH,HEBER CITY,COUNTY,65,-999,2020/02/20
59,0,UTAH COUNTY JAIL,UT,49,UTAH,SPANISH FORK,FEDERAL,689,1019,2020/02/20
61,0,SOUTHWEST UTAH YOUTH CENTER,UT,49,IRON,CEDAR CITY,STATE,13,20,2020/02/20
62,0,FARMINGTON BAY YOUTH CENTER,UT,49,DAVIS,FARMINGTON,STATE,21,42,2020/02/20
