STATE,state,year,wbgt_28_diff
AL,01,1982,1.1
AL,01,1983,2
AL,01,1984,1.8
AL,01,1985,2.1
AL,01,1986,2.2
AL,01,1987,4.6
AL,01,1988,2.5
AL,01,1989,3.5
AL,01,1990,5.8
AL,01,1991,4.8
AL,01,1992,1.2
AL,01,1993,2.3
AL,01,1994,1.1
AL,01,1995,4.8
AL,01,1996,1.4
AL,01,1997,2.2
AL,01,1998,1.8
AL,01,1999,1.1
AL,01,2000,2.2
AL,01,2001,1.7
AL,01,2002,3.3
AL,01,2003,2.7
AL,01,2004,3.5
AL,01,2005,1.1
AL,01,2006,4.6
AL,01,2007,2.1
AL,01,2008,1.9
AL,01,2009,2.8
AL,01,2010,5.1
AL,01,2011,4
AL,01,2012,2.6
AL,01,2013,2.1
AL,01,2014,2.7
AL,01,2015,4.6
AL,01,2016,6.1
AL,01,2017,5.3
AL,01,2018,6.6
AL,01,2019,10.3
AL,01,2020,5.7
AR,05,1982,1.3
AR,05,1983,0.7
AR,05,1984,1.7
AR,05,1985,3.3
AR,05,1986,9.2
AR,05,1987,3.3
AR,05,1988,4.6
AR,05,1989,3.8
AR,05,1990,2.9
AR,05,1991,3.7
AR,05,1992,1.7
AR,05,1993,4.6
AR,05,1994,1.8
AR,05,1995,3.8
AR,05,1996,2.2
AR,05,1997,3.3
AR,05,1998,4.9
AR,05,1999,1.6
AR,05,2000,3.7
AR,05,2001,1
AR,05,2002,4.5
AR,05,2003,2.9
AR,05,2004,2
AR,05,2005,5.6
AR,05,2006,-0.5
AR,05,2007,3.2
AR,05,2008,1.8
AR,05,2009,1.6
AR,05,2010,6.2
AR,05,2011,1.8
AR,05,2012,0.6
AR,05,2013,2.7
AR,05,2014,3
AR,05,2015,4.6
AR,05,2016,7.2
AR,05,2017,3.5
AR,05,2018,3.2
AR,05,2019,2.7
AR,05,2020,3.4
AZ,04,1982,10.2
AZ,04,1983,14.5
AZ,04,1984,15.4
AZ,04,1985,11.1
AZ,04,1986,21.2
AZ,04,1987,14.4
AZ,04,1988,9.2
AZ,04,1989,10.3
AZ,04,1990,10.3
AZ,04,1991,12.5
AZ,04,1992,14.4
AZ,04,1993,13.3
AZ,04,1994,7.5
AZ,04,1995,6.1
AZ,04,1996,6.6
AZ,04,1997,10.2
AZ,04,1998,10
AZ,04,1999,14.8
AZ,04,2000,9
AZ,04,2001,17.5
AZ,04,2002,13.2
AZ,04,2003,14.8
AZ,04,2004,13.7
AZ,04,2005,17.7
AZ,04,2006,10.1
AZ,04,2007,11.2
AZ,04,2008,11.5
AZ,04,2009,10.7
AZ,04,2010,9.2
AZ,04,2011,5.6
AZ,04,2012,21
AZ,04,2013,21.8
AZ,04,2014,18.7
AZ,04,2015,16.4
AZ,04,2016,13.9
AZ,04,2017,15.7
AZ,04,2018,21.5
AZ,04,2019,12.7
AZ,04,2020,13.2
CA,06,1982,6.6
CA,06,1983,7.2
CA,06,1984,11.9
CA,06,1985,5.8
CA,06,1986,4.4
CA,06,1987,4.4
CA,06,1988,9.6
CA,06,1989,4.8
CA,06,1990,9.1
CA,06,1991,8.1
CA,06,1992,8.5
CA,06,1993,5.8
CA,06,1994,7.7
CA,06,1995,9
CA,06,1996,11.1
CA,06,1997,8
CA,06,1998,12.1
CA,06,1999,7.1
CA,06,2000,7.8
CA,06,2001,9.2
CA,06,2002,8.7
CA,06,2003,10.7
CA,06,2004,5.4
CA,06,2005,9.5
CA,06,2006,8.8
CA,06,2007,7.1
CA,06,2008,8.1
CA,06,2009,6.9
CA,06,2010,5.4
CA,06,2011,6.6
CA,06,2012,7.6
CA,06,2013,8
CA,06,2014,7.8
CA,06,2015,7.8
CA,06,2016,6.9
CA,06,2017,11.5
CA,06,2018,6.4
CA,06,2019,5.5
CA,06,2020,8.8
CO,08,1982,0.1
CO,08,1983,0.1
CO,08,1984,0.1
CO,08,1985,0.2
