STATE,STATEFP,Type,wbgt_26_mean,wbgt_28_mean,wbgt_30_mean,wbgt_35_mean,wbgt_26_pop_mean,wbgt_28_pop_mean,wbgt_30_pop_mean,wbgt_35_pop_mean
AL,01,County,77.93443028578498,23.25544970926636,0.5937646913274773,0,629944,187973.8,4799.4,0
AL,01,Federal,90.68650073206442,33.627115666178625,1.0094289897510982,0,309694.4,114836.59999999999,3447.2,0
AL,01,Local,94.1637630662021,34.542857142857144,0.6013937282229965,0,27025,9913.8,172.6,0
AL,01,State,87.09884227191768,29.583039778349494,0.5825054423114981,0,1760441.8,597932.4,11773.6,0
AR,05,County,64.13196337741607,26.046551373346897,1.881709053916582,0,315208.6,128018.8,9248.6,0
AR,05,Federal,77.6672408293461,34.73448165869218,2.8672408293460925,0,243486.8,108892.59999999999,8988.8,0
AR,05,State,73.54266313730004,31.28302451375302,2.254379100011509,0,1278024.4,543636.4,39176.6,0
AZ,04,County,88.67741030266586,51.69232311084386,10.602846261775907,0,442411.6,257893,52897.6,0
AZ,04,Federal,101.43789198606271,49.20651132404181,5.488523519163763,0,931605.6,451912.6,50406.6,0
AZ,04,Other,113.2,63.2,7.4,0,144669.6,80769.6,9457.2,0
AZ,04,State,99.9751431870147,53.4463359971023,9.745364815611346,0,4416202,2360885,430482,0
CA,06,County,24.38806178297021,5.525639406378276,0.6517445532049259,0,1853687.8,419992.8,49537.8,0
CA,06,Federal,28.16989958511214,6.924779027118033,1.5920870663219289,0,468493.6,115166,26478,0
CA,06,Local,30.49911330049261,4.659507389162561,0.14423645320197045,0,30956.6,4729.4,146.4,0
CA,06,Other,60.2,10.4,0.4,0,23297.4,4024.8,154.8,0
CA,06,State,42.468305626850935,14.928312734452122,3.8923972359328727,0,5377549.2,1890297.6,492874.8,0
CO,08,County,2.943027769483428,0.010002985965959988,0,0,19712.4,67,0,0
CO,08,Federal,1.3676915568570034,0,0,0,5604.8,0,0,0
CO,08,Local,0.2,0,0,0,29,0,0,0
CO,08,Other,0.6,0,0,0,2.4,0,0,0
CO,08,State,8.33731613728416,0.31325943295672565,0,0,156441.4,5878,0,0
CT,09,Federal,5.36497975708502,0.8949392712550608,0,0,5300.6,884.2,0,0
CT,09,State,10.21392235609103,2.1790718429272644,0.02754722594080024,0,137336.4,29299.8,370.4000000000001,0
DC,11,State,33.648554913294795,9.016184971098266,0.20809248554913296,0,69854.4,18717.6,432,0
DE,10,State,26.881440099317196,7.747579143389199,0.45176908752327744,0,173224,49925.4,2911.2,0
FL,12,County,133.34283896098887,60.521541932622405,1.0073664114777177,0,6914759.600000001,3138465.6,52239,0
FL,12,Federal,132.66700815236996,67.3564245003968,1.3840704133900874,0,1838897.4,933627.4,19184.6,0
FL,12,Local,109.70387984981227,44.78448060075094,1.1359198998748434,0,350613.6,143131.2,3630.4,0
FL,12,Other,131.6,69,1.8,0,66063.2,34638,903.6,0
FL,12,State,122.50551338676584,59.088826674482775,1.4022397186201878,0,12120818,5846307.6,138739,0
GA,13,County,65.51285957702716,14.421215462229796,0.3777154121145301,0,1960865.4,431641.39999999997,11305.4,0
GA,13,Federal,86.01244557714772,28.309482850164596,1.2620579802484868,0,809979.2,266590.4,11884.8,0
GA,13,Local,48.424131627056674,1.1835466179159049,0,0,26488,647.4,0,0
GA,13,State,83.75270117408434,25.650259390724344,0.4829348207668604,0,4294336,1315191.4,24762,0
IA,19,County,20.20272530195107,5.252400123877361,0.7075874883864974,0,65234.6,16960,2284.8,0
IA,19,Local,14.8,3.2,0.4,0,843.6,182.4,22.8,0
IA,19,State,21.560591133004927,5.786458031488458,0.7997295469912102,0,223216.8,59907.200000000004,8279.6,0
ID,16,County,7.459967409016839,0.23150461705594785,0,0,27467.6,852.4,0,0
ID,16,State,7.590752059526973,0.1806537337230933,0,0,57128,1359.6,0,0
IL,17,County,17.118226283949028,4.408533916849016,0.3971038743725061,0,265983,68499.8,6170.2,0
IL,17,Federal,32.43482240937386,10.274844379348224,0.7231417063346759,0,177159,56121.200000000004,3949.8,0
IL,17,Local,39.6,11.8,0.8,0,871.2,259.6,17.6,0
IL,17,State,31.254557169053875,9.125306041532438,0.7126976260098131,0,1261246.4000000001,368242.6,28760.2,0
IN,18,County,17.85141326566575,2.4340734475223798,0.01914428702333122,0,253258,34532.2,271.6,0
IN,18,Federal,30.4,7.2,0.2,0,80408,19044,529,0
IN,18,State,17.875368593930798,3.100974207756336,0.06610428875368594,0,478899,83078.2,1771,0
KS,20,County,46.979688631426505,14.518609703113686,0.8312454742939899,0,259515.8,80200.8,4591.8,0
KS,20,Federal,38.673706591070165,11.478951098511693,1.4523033309709426,0,109137.2,32393.6,4098.4,0
KS,20,State,46.11422581611261,13.601018268942797,0.9009483877408405,0,461926.2,136241.4,9024.8,0
KY,21,County,30.66720120270609,5.303766808652802,0.1287229599933183,0,734356.8,127004,3082.4,0
KY,21,Federal,19.76348434174521,0.9785041045910612,0,0,130004.2,6436.6,0,0
KY,21,Local,36.4,5.8,0,0,60860.8,9697.6,0,0
KY,21,State,29.735824638032838,4.385763973145677,0.09015611097630025,0,367624,54221.2,1114.6,0
LA,22,County,106.58808491505283,48.189433792594016,2.6172142467161255,0,3318833.2,1500474.4,81492.2,0
LA,22,Federal,105.5879381443299,50.1105498281787,1.5450171821305843,0,614521.8,291643.4,8992,0
LA,22,Local,104.75084745762712,54.420762711864406,5.716949152542373,0,98884.8,51373.2,5396.8,0
LA,22,Other,104,47.4,0.6,0,84136,38346.6,485.4,0
LA,22,State,105.76758104738154,46.72827930174564,1.6864948739262953,0,1908576,843211.7999999999,30432.8,0
MA,25,County,8.792553768299296,1.9615217784203867,0.01959154165913609,0,97298.4,21706.2,216.8,0
MA,25,Federal,10.8,2,0,0,11890.8,2202,0,0
MA,25,State,8.934700556343406,1.9336096869204755,0,0,81904.4,17725.4,0,0
MD,24,County,28.13324489254444,7.228867073494295,0.35778721146192627,0,212068.4,54491.2,2697,0
MD,24,Federal,24,3.6,0,0,30456,4568.4,0,0
MD,24,State,24.988283677572657,6.167702430999817,0.24629866569182962,0,546843.6,134974,5389.999999999999,0
ME,23,County,3.3343612334801764,0.18722466960352424,0,0,6055.2,340,0,0
ME,23,State,2.2253424657534246,0.05707762557077626,0,0,3898.8,100,0,0
MI,26,County,7.538129178407647,0.8476379910492292,0.007138515940107189,0,136432.6,15341.4,129.2,0
MI,26,Federal,10.6,1.4,0,0,17659.6,2332.4,0,0
MI,26,State,5.1239014311630715,0.47291876637774644,0,0,203357.4,18769.2,0,0
MN,27,County,5.729905207115959,1.0824048824827945,0.12748993637189973,0,44126,8335.6,981.8,0
MN,27,Federal,2.8630497592295345,0.5343820224719101,0.08295345104333869,0,8918.4,1664.6,258.4,0
MN,27,Local,0.8526315789473685,0.2263157894736842,0,0,64.80000000000001,17.2,0,0
MN,27,State,5.739767868051313,1.1035837914884952,0.13152107513744654,0,56376,10839.4,1291.8,0
MO,29,County,40.10989253237807,11.200909341416368,0.724937999448884,0,291117.6,81296.2,5261.6,0
MO,29,Federal,38.2,8,0.2,0,37436,7840,196,0
MO,29,Local,42.95957792207792,13.237662337662337,0.878409090909091,0,52926.2,16308.800000000001,1082.2,0
MO,29,State,37.41095299698146,10.136425799297726,0.7373806443664142,0,1214584,329089.2,23939.8,0
MS,28,County,96.89072294191392,40.28719180944421,2.708441287087338,0,927438,385629,25925.2,0
MS,28,Federal,93.10613254203759,38.730234091658424,2.2496538081107813,0,564781.8,234937.6,13646.4,0
MS,28,State,93.29653209497417,38.609871919706386,1.6699423264174968,0,1245602,515480.4,22295.4,0
MT,30,County,1.6533168009919406,0.028022318660880348,0,0,2666.8,45.2,0,0
MT,30,Local,6.2,0.8,0,0,260.4,33.6,0,0
MT,30,Other,1.5999999999999999,0,0,0,1164.8,0,0,0
MT,30,State,0.9755240793201133,0.0688385269121813,0,0,3443.6,243,0,0
NC,37,County,46.27827781024742,10.45260081823495,0.36629651276056885,0,475092.8,107306.4,3760.4,0
NC,37,Federal,42.1050068119891,8.60732288828338,0.16580381471389644,0,247240.6,50542.2,973.5999999999999,0
NC,37,State,52.3056136755824,15.777410483175151,0.6853807161345988,0,1939910.6,585152.6,25419.4,0
ND,38,County,4.597670250896058,0.5379928315412187,0.050896057347670255,0,5131,600.4,56.8,0
ND,38,State,6.358966074313408,0.8240172320947765,0.12320947765212709,0,11808.6,1530.2,228.8,0
NE,31,County,26.02892434379825,6.4959855892949045,1.0553782810087493,0,101148.4,25243.4,4101.2,0
NE,31,State,32.24266617155588,8.879465280356479,1.313887857408095,0,173659,47824.8,7076.6,0
NH,33,County,4.833297529538131,0.8953813104189043,0,0,8999.6,1667.2,0,0
NH,33,Federal,0.4,0,0,0,372,0,0,0
NH,33,State,4.218988807410266,0.7587803936703976,0,0,10931.4,1966.0000000000002,0,0
NJ,34,County,20.727282211789255,4.858543855726954,0.4005365526492287,0,278139.4,65196.8,5374.8,0
NJ,34,Federal,24.231204493447056,6.2166423965050965,0.5633035157062617,0,116479.4,29883.399999999998,2707.8,0
NJ,34,State,22.798047547949924,5.523578729757666,0.4702308487423912,0,397005.2,96187.6,8188.6,0
NM,35,County,13.706266916510515,0.3380387257963773,0,0,65831.2,1623.6,0,0
NM,35,Federal,0,0,0,0,0,0,0,0
NM,35,Other,28.902017291066283,1.0863112391930836,0,0,80232,3015.6,0,0
NM,35,State,15.745614420751814,0.301077159815344,0,0,71626.8,1369.6,0,0
NV,32,County,58.38678694613956,22.480233483682674,0.13223666755107455,0,220059.8,84728,498.4,0
NV,32,Federal,53.2,9,0,0,62510,10575,0,0
NV,32,Local,84.32058545797922,37.03342776203966,2.0872521246458926,0,178591,78436.8,4420.8,0
NV,32,State,26.156398713826366,4.307624151482672,0.02978206502322258,0,366058.8,60285.2,416.8,0
NY,36,County,6.093254182406907,0.9167026443604965,0,0,90326.4,13589.2,0,0
NY,36,Federal,10.741521284019539,2.3720400093044898,0.19162595952547104,0,46177.8,10197.400000000001,823.8,0
NY,36,Local,12.262135922330097,2.122330097087379,0.005825242718446602,0,10104,1748.8000000000002,4.8,0
NY,36,State,5.575327308209705,0.7762632865344171,0,0,294260.2,40970.4,0,0
OH,39,County,13.217918943533698,1.2646516393442624,0.021083788706739527,0,232212.4,22217.4,370.4,0
OH,39,Federal,6.4,0,0,0,15622.4,0,0,0
OH,39,Local,16.688372093023258,2.1116279069767443,0,0,1435.2,181.6,0,0
